id,label,tweet,original
1B,,Greta is a good girl,
2B,,Greta is a bad girl,
3B,,Trump is a good guy,
4B,,Trump is a bad guy,
5dcaf694c14b24d0701c04f2,, - @GretaThunberg is fighting for the planet and the living conditions of your grandchildren and yoâ€¦ https://t.co/jq6e2iOTfK,1
5dcaf681c14b24d0701c0392,,"""How dare you?"" Il discorso di Greta Thunberg all'Onu https://t.co/5xuqnhCrSn",1
5dcaf698c14b24d0701c0549,,&amp;#8220;She seems like a very happy young girl&amp;#8221;: President Trump on Greta Thunberg https://t.co/LuOzZa2NLj,1
5dc88572678e6d23f770655d,,"@AfMusk NDGT is 100% right. I have three heroes, Elon Musk, Greta Thunberg and Neil deGrasse Tyson.",1
5dcaf696c14b24d0701c0524,,"@CanadensisMax Guess whoâ€™s up for a Nobel Prize ... @GretaThunberg â€¼ï¸
The whining bitch trump is #GretaThurnberg â€˜sâ€¦ https://t.co/J4PZWqOmf4",1
5dcabb3edd8a420f9f1d568f,,@Dangamipissed @sarahmquinlan @RobGeorge Sarah is in for a surprise when she learns there were a few million Gretasâ€¦ https://t.co/hrJk6mPRMw,1
5dcabb4ddd8a420f9f1d57c0,,@ethanparker99 @Wsep4765William It's such a simple message. When will the world see things with the clarity ofâ€¦ https://t.co/DTZlKvabXe,1
5dcca5ecf9456a438389913f,,@greta I thought the same thing. Bet his wife stands over him daily saying â€œtold you so!â€,1
5dcca6fff372816fadd094d4,,@greta She seriously can do better. D I V O R C E,1
5dcca6faf372816fadd094d1,,@JosephBaileyOne @greta If she loved her husband she would not do what she does. It really is that simple. Write aâ€¦ https://t.co/Dqg6RIPqnW,1
5dcca743f372816fadd094e9,,@Lateralist76 @SirWonderLlama @SBSNews No she not. If she was all of her predictions would have come true. What Greâ€¦ https://t.co/3xzlApdVqK,1
5dc88550678e6d23f770653d,,"@MikeHudema 100 % for green energy!

100 % for environmental protection!

100 % for ecologists!

100 % for Greenpeaâ€¦ https://t.co/kNPqalqUE6",1
5dcaf688c14b24d0701c0412,,@redsteeze Imagine being mad about the media hypothetically bullying an imaginary teenager when the media is busy bâ€¦ https://t.co/tJwSS8ykK5,1
5dcca721f372816fadd094e1,,"@Steve_Jacboson @greta Yes. The helping verbs are be, am, is, are, was, were being, been.",1
5dcca6bbf372816fadd094bc,,@tan123 Greta has officially passed the test with flying colours... https://t.co/HFOuVAdLDl,1
5dcca733f372816fadd094e6,,"After two and a half months in the U.S., Greta Thunberg has set sail to Spain for the U.N. climate conference nextâ€¦ https://t.co/ZK9XKPgV5e",1
5dc88536678e6d23f7706528,,An immense mural of teen climate activist Greta Thunberg is turning heads in downtown San Francisco as it nears comâ€¦ https://t.co/fQLnzt5Kor,1
5dcaf686c14b24d0701c03f4,,"RT @HumanrightsMUST: Look persons!
Trump is insecure, ignorant, jealous of the
leader of the Movement for Our Planet

@GretaThunberg 
#gretâ€¦",0
5dcabb3edd8a420f9f1d5692,,"RT @Ian56789: Greta Thunberg's face after reading Ian56's evidence &amp; fact based thread on Global Warming / Climate Change.

Greta Thunberg'â€¦",0
5dcabb43dd8a420f9f1d5705,,RT @Ian56789: Neoliberal Globalist Oligarch George Soros is behind the promotion and rapid ascension to prominence of Greta Thunberg - usinâ€¦,1
5dcabb44dd8a420f9f1d5717,,"RT @Ian56789: Vomit!ðŸ¤®ðŸ¤®ðŸ¤®
Greta Thunberg's appallingly ignorant, brainwashed, evidence free testimony for the Neoliberal Globalists agenda atâ€¦",0
5dcaf684c14b24d0701c03d0,,RT @Independent: Greta Thunberg glares at Trump as he passes her at UN https://t.co/APx7L1VovX,0
5dcca4f62af0a5955a8223d3,,RT @Independent: 'We must become warriors for the climate' - Jane Fonda accepts the Glamour's Woman of the Year Award on behalf of Greta Thâ€¦,1
5dcca5baf9456a4383899133,,"RT @InKUNated_ET: Gretaâ€™s next trip is swimming to China ....

Jk. Sheâ€™s never said sh** to China. 
Or any of the other countries listed hiâ€¦",0
5dc88594678e6d23f7706577,,"RT @inthecopa: Patriots! Donâ€™t be triggered! Itâ€™s only SF â€” s__thole sanctuary slum.

San Francisco Skyline Includes Mural of Climate Teenâ€¦",0
5dcaf686c14b24d0701c03f2,,"RT @IsraelUSAforevr: This speech by far-left activist Greta Thunberg is absolute madness

Who else is with me?

RT if yes! 
https://t.co/ziâ€¦",1
5dcabb51dd8a420f9f1d5821,,"RT @itsJeffTiedrich: Q: what's one thing Greta Thunberg has that Donald Trump doesn't?
A: any chance of winning a Nobel Peace Prize",1
5dcaf688c14b24d0701c0411,,"RT @j_gelling: Donald Trump merely calls Greta Thunberg ""a happy young girl with a bright future"" and the leftists go crazy - because theyâ€¦",0
5dcaf688c14b24d0701c0408,,"RT @Jali_Cat: Must must MUST read, copy and SHAREâ€¼ï¸â€¼ï¸â€¼ï¸

Donâ€™t be taken for a chump! Research &amp; knowledge is KEY!

Learn ALL about #GretaThâ€¦",0
